Tag;Preis;ABS(LogRendite);ABS(Volumeaenderung);ABS(VolumeaenderungsProzent);
387;1009.0;0,003;9168,00;0,3143;
388;1006.0;0,003;11180,00;0,2916;
389;1009.0;0,003;11180,00;0,4116;
390;1002.0;0,007;12760,00;0,3328;
391;994.0;0,008;17306,00;0,3387;
392;995.0;0,001;1029,00;0,0304;
393;994.0;0,001;5005,00;0,1437;
394;982.0;0,0121;8216,00;0,2755;
395;982.0;0,00;19640,00;0,9091;
396;976.0;0,0061;16844,00;0,4084;
397;984.0;0,0082;43496,00;1,7826;
398;973.0;0,0112;44544,00;0,6561;
399;976.0;0,0031;11784,00;0,5046;
400;985.0;0,0092;20361,00;0,5795;




************************************
Korrelation1=0,1377
Korrelation2=0,1403
************************************
Definiton
ABS(LogRendite) = ABS( Log(Preis[ i ]) - Log(Preis[i-1])) 
ABS(Volumeaenderung) = ABS( Umsatz_in_Stuck[ i ] - Umsatz_in_Stuck[ i-1 ] ) 
ABS(Volumeaenderungprozent) = ABS( Umsatz_in_Stuck[ i ] - Umsatz_in_Stuck[ i-1 ] ) /Umsatz_in_Stuck[ i-1 ]  
Wenn ABS( Umsatz_in_Stuck[ i -1 ] = 0, dessen Wert ist auf 0.0 gesetzt.
ABS ist mathematisch Absolute Funktion. 
Korrelation1 ist Korrelation  zwischen ABS(LogRendite)  und ABS(Volumeaenderung)
Korrelation2 ist Korrelation  zwischen ABS(LogRendite)  und ABS(Volumeaenderungprozent)
