Tag;Preis;ABS(LogRendite);ABS(Volumeaenderung);ABS(VolumeaenderungsProzent);
273;1071.0;0,0169;56034,00;0,5321;
274;1095.0;0,0222;26271,00;0,5332;
275;1109.0;0,0127;13014,00;0,5659;
276;1116.0;0,0063;63,00;0,0063;
277;1119.0;0,0027;10098,00;1,0054;
278;1127.0;0,0071;15634,00;0,7762;
279;1138.0;0,0097;3370,00;0,7476;
280;1146.0;0,007;2300,00;2,0211;
281;1154.0;0,007;24,00;0,007;
282;1162.0;0,0069;24,00;0,0069;
283;1169.0;0,006;21,00;0,006;
284;1177.0;0,0068;24,00;0,0068;
285;1185.0;0,0068;13059,00;3,6984;
286;1185.0;0,00;16590,00;1,00;
287;1185.0;0,00;18960,00;0,00;
288;1193.0;0,0067;4900,00;0,2584;
289;1201.0;0,0067;160,00;0,0067;
290;1207.0;0,005;53228,00;2,216;
291;1213.0;0,005;11301,00;0,1463;
292;1216.0;0,0025;90203,00;1,0187;
293;1223.0;0,0057;67459,00;0,3774;
294;1230.0;0,0057;80587,00;0,7241;
295;1235.0;0,0041;60060,00;0,313;
296;1241.0;0,0048;12427,00;0,0493;
297;1240.0;0,0008;2673,00;0,0112;
298;1246.0;0,0048;79844,00;0,3371;
299;1243.0;0,0024;109006,00;0,6943;
300;1247.0;0,0032;856,00;0,0032;




************************************
Korrelation1=-0,0867
Korrelation2=-0,0088
************************************
Definiton
ABS(LogRendite) = ABS( Log(Preis[ i ]) - Log(Preis[i-1])) 
ABS(Volumeaenderung) = ABS( Umsatz_in_Stuck[ i ] - Umsatz_in_Stuck[ i-1 ] ) 
ABS(Volumeaenderungprozent) = ABS( Umsatz_in_Stuck[ i ] - Umsatz_in_Stuck[ i-1 ] ) /Umsatz_in_Stuck[ i-1 ]  
Wenn ABS( Umsatz_in_Stuck[ i -1 ] = 0, dessen Wert ist auf 0.0 gesetzt.
ABS ist mathematisch Absolute Funktion. 
Korrelation1 ist Korrelation  zwischen ABS(LogRendite)  und ABS(Volumeaenderung)
Korrelation2 ist Korrelation  zwischen ABS(LogRendite)  und ABS(Volumeaenderungprozent)
